,ndcg,map,recall,precision
@1,0.57667,0.55594,0.55594,0.57667
@3,0.63658,0.61432,0.67928,0.24111
@5,0.66524,0.63124,0.74789,0.162
@10,0.69064,0.64374,0.81978,0.09067
@100,0.71337,0.64918,0.91922,0.0104
@1000,0.7212,0.6495,0.98,0.00111
