,ndcg,map,recall,precision,average_time
@1,0.5822,0.55917,0.55917,0.5822,15.45795797280595
@3,0.64516,0.62249,0.6889,0.24928,15.45795797280595
@5,0.67434,0.64088,0.75791,0.16737,15.45795797280595
@10,0.69427,0.65005,0.81652,0.09098,15.45795797280595
@100,0.71989,0.65562,0.93506,0.01061,15.45795797280595
@1000,0.72553,0.65584,0.97899,0.00111,15.45795797280595
