,ndcg,map,recall,precision,average_time
@1,0.15698,0.14318,0.14318,0.15698,127.48401236093945
@3,0.20166,0.18446,0.23377,0.08776,127.48401236093945
@5,0.22006,0.19533,0.27837,0.06279,127.48401236093945
@10,0.24414,0.2054,0.35124,0.03993,127.48401236093945
@100,0.29723,0.21545,0.60626,0.00697,127.48401236093945
@1000,0.33405,0.21664,0.90317,0.00103,127.48401236093945
